question,answer
What are the main stages of engine manufacturing?,"The major stages are: Design & Simulation Material selection Casting of engine block & cylinder head Heat treatment Machining (CNC turning, milling, boring, honing) Surface treatment & cleaning Sub-assembly (crankshaft, piston, connecting rod) Final engine assembly Testing (leak test, performance test, NVH test) Painting & packing"
What materials are commonly used for engine components?,Engine block: Cast iron / Aluminium alloy Cylinder head: Aluminium alloy Crankshaft: Forged steel Connecting rod: Forged steel / Powder metal Piston: Aluminium alloy Camshaft: Cast iron / Billet steel
Why is casting used for the engine block?,"Casting is ideal because: Can produce complex shapes (cooling passages, oil galleries). High strength and durability. Cost-effective for mass production."
What is the purpose of heat treatment in engine manufacturing?,"Heat treatment improves: Hardness Wear resistance Fatigue strength Dimensional stability Processes include quenching, tempering, normalizing, induction hardening."
What is cylinder honing?,Honing is a finishing process to: Remove distortions after boring. Create a cross-hatch pattern for better lubrication. Achieve correct surface roughness for piston rings.
Why are CNC machines used in engine manufacturing?,CNC provides: High precision Consistent quality Complex machining capability High repeatability Reduced manual error
What tests are done in engine assembly process?,"Leak Test – air pressure test for coolant & oil circuits Cold test – sensors check rotation, timing, compression Hot test / Dyno test – power, torque, fuel consumption, emissions NVH test – noise, vibration, harshness Final visual inspection"
What is crankshaft balancing?,It ensures the crankshaft rotates smoothly by: Adding or removing material Reducing vibration Preventing bearing wear Improving engine life
What are common machining defects in engine components?,Burrs Surface roughness out of spec Taper or ovality Tool marks Misalignment Undersize/oversize dimensions
Why does rust form on machined engine parts?,Rust Due to: Moisture exposure No rust preventive coating Improper storage High humidity Coolant contamination & Coolant concentration Rust Prevention Action: Apply rust preventive oil (RPO) Use VCI bags Maintain humidity < 55% Proper Coolant maintenance Immediate packing after machining
What is VVT (Variable Valve Timing)?,A technology that adjusts & overlap camshaft timing during running for: Better fuel economy More power Reduced emissions
What is the difference between diesel and petrol engine manufacturing?,
Why is torque-to-yield (TTY) bolt used in engines?,"Provides uniform clamping force Prevents head gasket leaks Used in cylinder head, connecting rod caps"
What is dynamic balancing in engine assembly?,"Balancing rotating parts (crankshaft, flywheel, pulleys) to: Reduce vibration Improve smooth running Reduce wear on bearings"
What are the test conducted in Assembly FTB( Final Test Bench)?,Final inspection where the engine is tested for: Power Emission Noise/vibration Leakage Sensors & electronic controls Overall performance validation
What are the critical-to-quality (CTQ) parameters in an engine?,"Key CTQs include: Cylinder bore diameter, taper, and roundness Piston-to-bore clearance Crankshaft runout Valve timing accuracy Injector flow rate & spray pattern Oil pressure & coolant flow rate Combustion chamber volume NVH limits (dB & vibration levels) Failing any CTQ directly affects engine performance and durability."
